Date,Open,High,Low,Close,Adj Close,Volume
2016-10-01,null,null,null,null,null,null
2016-11-01,113.570000,127.610001,111.529999,125.180000,122.703812,32722800
2016-12-01,125.699997,127.989998,121.849998,127.019997,124.507408,27049500
2017-01-01,123.730003,130.160004,120.059998,127.199997,125.334496,28426900
2017-02-01,127.139999,132.199997,125.959999,132.009995,130.073944,23600900
2017-03-01,133.279999,136.029999,129.169998,132.470001,130.527206,27948200
2017-04-01,132.970001,142.820007,130.169998,138.089996,136.733475,29141800
2017-05-01,137.880005,141.490005,133.899994,141.220001,139.832733,23598800
2017-06-01,143.160004,150.289993,141.089996,143.250000,141.842789,28297700
2017-07-01,144.199997,147.889999,139.509995,140.710007,139.967224,24325500
2017-08-01,141.100006,143.059998,135.070007,137.509995,136.784103,25764500
2017-09-01,138.000000,148.279999,136.039993,147.960007,147.178955,20556400
2017-10-01,147.960007,159.360001,147.960007,156.520004,156.520004,24981100
