Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,142.949997,153.080002,138.800003,150.559998,146.141251,73628200
2016-12-01,150.740005,160.070007,150.020004,155.679993,152.271408,62860400
2017-01-01,156.300003,170,155.210007,163.419998,159.841949,73355200
2017-02-01,164.25,181.929993,160.820007,180.229996,176.283905,67319300
2017-03-01,181.850006,185.710007,173.75,176.860001,174.475708,71329400
2017-04-01,177.080002,184.929993,175.5,184.830002,182.338272,52167800
2017-05-01,184.229996,188.259995,175.470001,187.630005,185.100525,66022900
2017-06-01,187.410004,204.389999,184.529999,197.75,196.577545,64597400
2017-07-01,198.070007,246.490005,197.75,242.460007,241.022461,75175600
2017-08-01,243.380005,243.990005,230.940002,239.660004,238.239059,84515800
2017-09-01,239.660004,259.299988,234.289993,254.210007,254.210007,76743100
2017-10-01,254.649994,267.209991,253.529999,257.980011,257.980011,68772900
