Date,Open,High,Low,Close,Adj Close,Volume
2016-10-01,null,null,null,null,null,null
2016-11-01,33.720001,38.599998,31.200001,35.180000,35.066284,92207200
2016-12-01,36.400002,39.639999,33.009998,34.360001,34.248932,92820000
2017-01-01,33.610001,36.400002,31.540001,32.340000,32.253235,86676700
2017-02-01,32.660000,34.930000,27.070000,27.620001,27.545900,86879800
2017-03-01,27.840000,29.700001,26.610001,29.100000,29.021931,116091600
2017-04-01,29.100000,30.299999,26.240000,26.490000,26.438139,104208800
2017-05-01,26.440001,26.980000,22.980000,23.059999,23.014853,116310000
2017-06-01,23.170000,23.959999,20.950001,23.170000,23.124638,134574400
2017-07-01,23.250000,23.590000,20.340000,21.110001,21.086866,104262300
2017-08-01,21.030001,21.100000,16.500000,17.360001,17.340977,188409300
2017-09-01,17.410000,20.420000,16.000000,19.570000,19.548553,150225900
2017-10-01,19.260000,20.650000,17.410000,18.110001,18.110001,128444700
