Date,Open,High,Low,Close,Adj Close,Volume
2016-10-01,null,null,null,null,null,null
2016-11-01,799.000000,800.840027,710.099976,750.570007,750.570007,109943300
2016-12-01,752.409973,782.460022,736.700012,768.659973,768.659973,79279600
2017-01-01,757.919983,843.840027,747.700012,823.479980,823.479980,70596900
2017-02-01,829.210022,860.859985,803.000000,845.039978,845.039978,71743800
2017-03-01,853.049988,890.349976,833.500000,886.539978,886.539978,60710700
2017-04-01,888.000000,949.590027,884.489990,924.989990,924.989990,73510800
2017-05-01,927.799988,1001.200012,927.799988,994.619995,994.619995,76202000
2017-06-01,998.590027,1017.000000,927.000000,968.000000,968.000000,96120800
2017-07-01,972.789978,1083.310059,951.000000,987.780029,987.780029,78812400
2017-08-01,996.109985,1006.400024,936.330017,980.599976,980.599976,77261700
2017-09-01,984.200012,1000.000000,931.750000,961.349976,961.349976,59291800
2017-10-01,964.000000,1122.790039,950.369995,1105.280029,1105.280029,83334100
