Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,141.500000,143.100006,141.490005,143.029999,138.832260,3228200
2016-11-08,141.919998,143.309998,141.289993,142.199997,139.086563,2777300
2016-11-09,141.600006,145.850006,141.539993,145.089996,141.913284,5494400
2016-11-10,146.509995,149.339996,146.389999,147.690002,144.456360,6508300
2016-11-11,147.119995,148.600006,146.559998,148.520004,145.268188,3585200
2016-11-14,148.210007,150.089996,148.210007,149.990005,146.706024,4435400
2016-11-15,148.440002,149.449997,147.190002,148.110001,144.867172,3856600
2016-11-16,147.300003,148.410004,146.139999,146.440002,143.233734,3531800
2016-11-17,146.830002,147.119995,145.000000,145.330002,142.148026,3656100
2016-11-18,145.179993,146.600006,144.460007,146.350006,143.145706,2214400
2016-11-21,147.210007,148.490005,146.520004,147.020004,143.801041,2825900
2016-11-22,147.899994,149.759995,147.880005,149.520004,146.246292,3770000
2016-11-23,149.610001,150.809998,149.029999,149.740005,146.461472,2857500
2016-11-25,150.000000,150.149994,149.029999,150.039993,146.754898,962300
2016-11-28,149.000000,150.089996,148.320007,149.770004,146.490829,4728800
2016-11-29,149.830002,152.110001,149.110001,151.639999,148.319870,3945600
2016-11-30,151.589996,153.080002,150.559998,150.559998,147.263519,3991000
2016-12-01,150.740005,152.690002,150.389999,152.389999,149.053452,2843900
2016-12-02,152.449997,152.490005,151.119995,152.250000,148.916534,2105600
2016-12-05,153.240005,153.750000,151.850006,152.160004,148.828491,2855900
2016-12-06,150.839996,152.639999,150.020004,152.240005,148.906738,3476300
2016-12-07,151.669998,154.309998,151.070007,154.139999,150.765137,2955800
2016-12-08,154.600006,155.970001,154.139999,155.389999,151.987778,2928400
2016-12-09,155.649994,156.880005,155.419998,156.490005,153.063690,2707900
2016-12-12,156.000000,158.000000,154.300003,157.160004,153.719009,4250600
2016-12-13,159.100006,160.070007,154.880005,156.660004,153.229965,5650400
2016-12-14,156.229996,156.369995,154.179993,154.470001,151.087921,3640200
2016-12-15,153.929993,155.240005,153.059998,153.770004,150.403244,2889300
2016-12-16,153.880005,156.000000,153.139999,154.500000,151.117249,5378000
2016-12-19,155.160004,157.100006,155.070007,156.179993,152.760468,3002800
2016-12-20,156.960007,157.889999,155.949997,156.389999,152.965881,2270100
2016-12-21,156.690002,158.500000,156.649994,157.479996,154.031998,2326000
2016-12-22,158.500000,158.990005,156.250000,157.460007,154.012466,3958500
2016-12-23,158.270004,158.270004,156.509995,157.809998,154.354782,2132600
2016-12-27,158.410004,158.479996,156.910004,157.479996,154.031998,1858700
2016-12-28,157.119995,157.350006,156.009995,156.100006,152.682251,1810400
2016-12-29,156.000000,156.750000,155.160004,155.690002,152.281204,1791300
2016-12-30,156.490005,156.789993,154.960007,155.679993,152.271408,2027700
2017-01-03,156.300003,157.139999,155.210007,156.970001,153.533173,3426100
2017-01-04,157.809998,159.229996,157.809998,158.619995,155.147049,3189800
2017-01-05,158.410004,159.699997,157.399994,158.710007,155.235092,2796000
2017-01-06,158.979996,159.660004,157.889999,159.100006,155.616562,2426000
2017-01-09,159.000000,159.240005,158.169998,158.320007,154.853638,2819400
2017-01-10,158.960007,159.940002,158.570007,159.070007,155.587204,2988300
2017-01-11,159.539993,159.699997,158.279999,159.399994,155.909958,2416500
