age,lx,dx,qx,m.e.(qx),px,Lx,Tx,ex,m.e.(ex)
89 ans,"41,123","4,130",0.10043,0.00317,0.89957,"39,058","231,217",5.6,0.1
90 ans,"36,993","4,189",0.11324,0.00360,0.88676,"34,898","192,159",5.2,0.1
91 ans,"32,804","4,182",0.12748,0.00414,0.87252,"30,713","157,261",4.8,0.1
92 ans,"28,622","4,090",0.14289,0.00483,0.85711,"26,577","126,548",4.4,0.1
93 ans,"24,532","3,912",0.15946,0.00567,0.84054,"22,576","99,971",4.1,0.1
94 ans,"20,620","3,654",0.17719,0.00675,0.82281,"18,793","77,394",3.8,0.1
95 ans,"16,967","3,403",0.20055,0.00821,0.79945,"15,265","58,601",3.5,0.1
96 ans,"13,564","2,995",0.22081,0.00998,0.77919,"12,066","43,336",3.2,0.1
97 ans,"10,569","2,558",0.24206,0.01221,0.75794,"9,290","31,269",3.0,0.1
98 ans,"8,011","2,116",0.26414,0.01466,0.73586,"6,953","21,980",2.7,0.1
99 ans,"5,895","1,691",0.28687,0.01780,0.71313,"5,049","15,027",2.6,0.1
100 ans,"4,204","1,303",0.31005,0.02188,0.68995,"3,552","9,978",2.4,0.1
101 ans,"2,900",967,0.33347,0.02797,0.66653,"2,417","6,426",2.2,0.1
102 ans,"1,933",690,0.35688,0.03680,0.64312,"1,588","4,009",2.1,0.1
103 ans,"1,243",473,0.38005,0.04813,0.61995,"1,007","2,421",2.0,0.2
104 ans,771,310,0.40278,0.06266,0.59722,616,"1,414",1.8,0.2
105 ans,460,196,0.42485,0.08757,0.57515,363,799,1.7,0.3
106 ans,265,118,0.44609,0.11706,0.55391,206,436,1.7,0.3
107 ans,147,68,0.46634,0.15705,0.53366,112,230,1.6,0.4
108 ans,78,38,0.48549,0.21267,0.51451,59,118,1.5,0.5
109 ans,40,20,0.50344,0.24584,0.49656,30,59,1.5,0.5
110 ans et plus,20,20,1.00000,0.00000,0.00000,28,28,1.4,…
,,,,,,,,,
